Latitude,Longitude,NDVI,Soil_Moisture,Elevation,Fertility,Fertility_Level
20.970047413665082,74.32000399071094,0.1858723,0.24793388,-11.451605,407.0,High
20.969777919079846,74.32000399071094,0.1442596,0.110192835,-12.659117,406.0,High
20.96950842449461,74.32000399071094,0.123855256,0.0661157,-12.728725,407.0,High
20.969238929909373,74.32000399071094,0.16563414,0.1707989,-11.653432,408.0,High
20.968969435324137,74.32000399071094,0.1834585,0.22038567,-10.425632,408.0,High
20.9686999407389,74.32000399071094,0.19591546,0.2644628,-10.340611,407.0,High
20.968430446153665,74.32000399071094,0.19662458,0.26721764,-9.489401,404.0,High
20.96816095156843,74.32000399071094,0.19569552,0.27272728,-10.668037,402.0,High
20.967891456983192,74.32000399071094,0.17663403,0.15977961,-10.938061,402.0,High
20.967621962397956,74.32000399071094,0.11953156,0.0523416,-11.4482155,403.0,High
20.96735246781272,74.32000399071094,0.13243991,0.044077136,-9.654004,401.0,High
20.967082973227487,74.32000399071094,0.14370699,0.024793388,-9.584558,399.0,High
20.96681347864225,74.32000399071094,0.12915029,0.011019284,-10.3134365,397.0,High
20.96627448947178,74.32000399071094,0.06830433,0.005509642,-12.992745,396.0,High
20.966004994886543,74.32000399071094,0.21193594,0.29752067,-10.593123,397.0,High
20.965735500301307,74.32000399071094,0.2783907,0.58953166,-10.349338,399.0,High
20.96546600571607,74.32000399071094,0.2168735,0.3939394,-10.6816025,402.0,High
20.965196511130834,74.32000399071094,0.2178939,0.37190083,-10.805778,402.0,High
20.964927016545598,74.32000399071094,0.20873505,0.38016528,-10.4504595,404.0,High
20.964657521960362,74.32000399071094,0.20486736,0.37465563,-10.169156,406.0,High
20.964388027375126,74.32000399071094,0.18557736,0.261708,-10.372842,405.0,High
20.964118532789893,74.32000399071094,0.17984913,0.22038567,-9.958632,405.0,High
20.963849038204657,74.32000399071094,0.18267874,0.23966943,-9.6517725,406.0,High
20.96357954361942,74.32000399071094,0.2616756,0.5509642,-10.088051,405.0,High
20.963310049034185,74.32000399071094,0.25847876,0.5647383,-10.314777,403.0,High
20.96304055444895,74.32000399071094,0.2062625,0.3553719,-10.607247,401.0,High
20.962771059863712,74.32000399071094,0.21046312,0.3553719,-10.849795,401.0,High
20.962501565278476,74.32000399071094,0.24759379,0.4738292,-9.562243,403.0,High
20.96223207069324,74.32000399071094,0.21180469,0.36088154,-9.889357,404.0,High
20.961962576108004,74.32000399071094,0.21279678,0.36914602,-9.551583,403.0,High
20.961693081522768,74.32000399071094,0.1946618,0.28650138,-9.802511,401.0,High
20.96142358693753,74.32000399071094,0.18748508,0.2369146,-9.882207,400.0,High
20.961154092352295,74.32000399071094,0.2175753,0.3305785,-8.941974,402.0,High
20.960884597767063,74.32000399071094,0.27370408,0.61157024,-8.935609,401.0,High
20.960615103181826,74.32000399071094,0.24819298,0.5041322,-9.94609,400.0,High
